site_name,image_date,image_product,class,SR_B1,SR_B2,SR_B3,SR_B4,SR_B5,SR_B6,SR_B7,ST_B10,NDSI,geometry
Gulkana,20210610,Landsat,2,0.828465,0.8028625,0.732655,0.6730075,0.5166425,0.20086,0.2105125,0.988735,0.569669475,POINT (-145.43388149885482 63.277541722874346)
Gulkana,20210610,Landsat,2,0.8364125,0.8014875,0.7196475,0.6607425,0.5240675,0.205425,0.2141975,0.976415,0.555872648,POINT (-145.47224253539275 63.28357819045624)
Gulkana,20210610,Landsat,2,0.98241,0.9580175,0.8772775,0.8071525,0.61369,0.20713,0.214885,0.9774325,0.617984936,POINT (-145.47048636841194 63.28294817960152)
Gulkana,20210610,Landsat,2,0.9252925,0.8954825,0.8111675,0.745415,0.5779125,0.2087525,0.215765,0.977955,0.590649267,POINT (-145.47103104522301 63.2843152618022)
Gulkana,20210610,Landsat,2,0.9514175,0.9221575,0.8454325,0.772035,0.59345,0.208175,0.216095,0.9761125,0.604833868,POINT (-145.47327335254116 63.28275583219422)
Gulkana,20210610,Landsat,2,0.897105,0.8712275,0.78485,0.72369,0.5613575,0.2012725,0.2113375,0.9798525,0.591790067,POINT (-145.41944931752823 63.2905796399513)
Gulkana,20210610,Landsat,2,0.882695,0.8529675,0.7745375,0.7101875,0.54604,0.1976975,0.20977,0.9961875,0.593313345,POINT (-145.42130829216535 63.28998373859032)
Gulkana,20210610,Landsat,2,0.8431775,0.810865,0.73502,0.6754275,0.5191175,0.198165,0.209495,1.0020175,0.575293216,POINT (-145.4227437927942 63.2904517437957)
Gulkana,20210610,Landsat,2,0.8921,0.8755175,0.820875,0.7633725,0.5911125,0.2137575,0.2210725,0.971575,0.586795311,POINT (-145.40617466679473 63.28380239055017)
Gulkana,20210610,Landsat,2,0.8249725,0.8098475,0.744755,0.69432,0.540375,0.2073775,0.21681,0.97196,0.564393611,POINT (-145.40492329325852 63.282896842749366)
Gulkana,20210610,Landsat,2,0.88924,0.8734275,0.821095,0.76285,0.5847325,0.20592,0.214335,0.971905,0.598993199,POINT (-145.40700951246058 63.28200317250461)
Gulkana,20210610,Landsat,2,0.9323325,0.92114,0.874995,0.8125975,0.6167975,0.20493,0.2135925,0.9718775,0.620473644,POINT (-145.40679561903545 63.28075262193873)
Gulkana,20210610,Landsat,2,0.89661,0.8869575,0.82467,0.7764075,0.6161925,0.234905,0.23914,0.9683575,0.556605243,POINT (-145.40487828818746 63.283711463007606)
Gulkana,20210610,Landsat,2,0.98912,0.9735,0.9245775,0.85899,0.6559575,0.2045725,0.2140325,0.972345,0.637652216,POINT (-145.40840190905544 63.28548301029797)
Gulkana,20210610,Landsat,2,1.008865,1.00364,0.9322225,0.8707325,0.66748,0.2035,0.2129325,0.9751225,0.641637812,POINT (-145.41106682043736 63.28538539421986)
Gulkana,20210610,Landsat,2,0.708565,0.6937425,0.6572775,0.62975,0.5410625,0.24662,0.24882,0.9246325,0.454318659,POINT (-145.50652996071483 63.32336438750098)
Gulkana,20210610,Landsat,2,0.70191,0.6862625,0.6473225,0.617485,0.5292375,0.2436225,0.2460425,0.9306,0.45311439,POINT (-145.50292734449545 63.32305547732746)
Gulkana,20210610,Landsat,2,0.7250375,0.7102975,0.6714125,0.63899,0.5404025,0.241065,0.2437325,0.93016,0.471625328,POINT (-145.50120356662563 63.321410547894445)
Gulkana,20210610,Landsat,2,0.73106,0.7159075,0.67881,0.646415,0.543015,0.24178,0.2441725,0.9336525,0.474728163,POINT (-145.50156128416262 63.32032975807469)
Gulkana,20210610,Landsat,2,0.7583125,0.7469825,0.7067225,0.6729525,0.56177,0.23914,0.2427425,0.9265025,0.494345108,POINT (-145.49599322486662 63.32013557149684)
