site_name,image_date,image_product,class,B1,B2,B3,B4,B5,B6,B7,B8,B8A,B9,B11,B12,NDSI,geometry
Gulkana,20210615,Sentinel-2_TOA,1,0.8417,0.8544,0.8149,0.8195,0.8032,0.7635,0.7199,0.6639,0.659,0.2477,0.0012,0.0154,0.997059184,POINT (-145.47569043968653 63.277804329189266)
Gulkana,20210615,Sentinel-2_TOA,1,0.8431,0.8562,0.8159,0.8253,0.8078,0.7721,0.7306,0.6694,0.6662,0.2504,0.0012,0.0152,0.997062783,POINT (-145.4732089531484 63.27740210788721)
Gulkana,20210615,Sentinel-2_TOA,1,0.8541,0.867,0.8336,0.8385,0.8235,0.7858,0.7385,0.6795,0.6802,0.2521,0.0011,0.0148,0.997364323,POINT (-145.47019152539244 63.27727582131217)
Gulkana,20210615,Sentinel-2_TOA,1,0.8516,0.865,0.8255,0.8349,0.8228,0.7833,0.7403,0.6758,0.6821,0.2532,0.001,0.0138,0.997580157,POINT (-145.47013186287933 63.278402114942736)
Gulkana,20210615,Sentinel-2_TOA,1,0.8575,0.8679,0.8305,0.8422,0.8267,0.7871,0.7415,0.6853,0.6816,0.2549,0.0011,0.0146,0.997354497,POINT (-145.47268038805558 63.279509441672126)
Gulkana,20210615,Sentinel-2_TOA,1,0.8726,0.8916,0.8559,0.8672,0.8467,0.8073,0.763,0.7051,0.7011,0.2609,0.0012,0.0164,0.99719986,POINT (-145.474876621425 63.27939210611316)
Gulkana,20210615,Sentinel-2_TOA,1,0.88,0.8964,0.8587,0.8686,0.8553,0.8138,0.7715,0.7102,0.7073,0.2649,0.001,0.0172,0.997673607,POINT (-145.47718696384678 63.27908813474121)
Gulkana,20210615,Sentinel-2_TOA,1,0.8303,0.885,0.8479,0.8615,0.8311,0.7989,0.7535,0.7116,0.695,0.2493,0.0011,0.018,0.997408716,POINT (-145.47912978294474 63.27784109311614)
Gulkana,20210615,Sentinel-2_TOA,1,0.8373,0.8434,0.8022,0.8089,0.7964,0.7588,0.7164,0.657,0.6557,0.2456,0.0012,0.0139,0.997012696,POINT (-145.4692333935774 63.279613308115934)
Gulkana,20210615,Sentinel-2_TOA,1,0.8403,0.8648,0.8242,0.8346,0.816,0.7797,0.7325,0.679,0.676,0.2491,0.0012,0.0141,0.997092319,POINT (-145.46949882226482 63.28050831652376)
Gulkana,20210615,Sentinel-2_TOA,1,0.8972,0.919,0.8845,0.8972,0.8807,0.8413,0.8031,0.7403,0.7363,0.2738,0.0012,0.0155,0.997290279,POINT (-145.46986104168008 63.28154523063286)
Gulkana,20210615,Sentinel-2_TOA,1,0.9148,0.9438,0.9092,0.9259,0.9039,0.86,0.8186,0.7578,0.7566,0.2804,0.0011,0.0158,0.997583214,POINT (-145.46990559487662 63.28267264304297)
Gulkana,20210615,Sentinel-2_TOA,1,0.9265,0.9569,0.9193,0.942,0.9298,0.8862,0.8355,0.7641,0.7673,0.2829,0.0011,0.0163,0.997609735,POINT (-145.47016112503073 63.283755365408474)
Gulkana,20210615,Sentinel-2_TOA,1,0.9706,0.9995,0.9654,0.9845,0.9744,0.9336,0.8902,0.8164,0.8233,0.3145,0.0012,0.0184,0.99751707,POINT (-145.47178439410217 63.28264585450496)
Gulkana,20210615,Sentinel-2_TOA,1,0.9772,0.9913,0.957,0.9834,0.9713,0.9302,0.8823,0.811,0.8138,0.3135,0.0012,0.0185,0.997495304,POINT (-145.4731841780867 63.281815664053546)
Gulkana,20210615,Sentinel-2_TOA,1,0.9101,0.9174,0.8843,0.8929,0.8724,0.8388,0.7947,0.7331,0.7325,0.2845,0.0012,0.0157,0.997289667,POINT (-145.4756039229377 63.28141897827059)
Gulkana,20210615,Sentinel-2_TOA,1,0.8986,0.9244,0.893,0.9043,0.8824,0.8416,0.8001,0.7371,0.7274,0.2709,0.0012,0.015,0.997316037,POINT (-145.47886736339726 63.28084344158556)
Gulkana,20210615,Sentinel-2_TOA,1,0.8987,0.9112,0.873,0.8852,0.8665,0.828,0.7809,0.7179,0.7168,0.2717,0.001,0.0167,0.99771167,POINT (-145.48106614295068 63.28067908174362)
Gulkana,20210615,Sentinel-2_TOA,1,0.8987,0.9239,0.888,0.9077,0.8901,0.8434,0.8003,0.7338,0.7338,0.2784,0.001,0.0188,0.997750281,POINT (-145.48325503809963 63.28070240456469)
Gulkana,20210615,Sentinel-2_TOA,1,0.7362,0.8059,0.7634,0.7667,0.7449,0.7114,0.6697,0.631,0.6222,0.2218,0.0012,0.0168,0.996861104,POINT (-145.4850565482299 63.280158109820135)
Gulkana,20210615,Sentinel-2_TOA,1,0.7404,0.7621,0.7224,0.7197,0.6969,0.6596,0.6233,0.573,0.5689,0.215,0.001,0.0155,0.997235278,POINT (-145.4839543520488 63.27930118645721)
Gulkana,20210615,Sentinel-2_TOA,1,0.8947,0.9056,0.8714,0.8914,0.8673,0.8252,0.7809,0.7157,0.7193,0.2772,0.0012,0.0169,0.997249599,POINT (-145.4814356040281 63.27960304561851)
Gulkana,20210615,Sentinel-2_TOA,1,0.8953,0.9266,0.8859,0.9003,0.8846,0.8429,0.7997,0.7346,0.7341,0.272,0.0012,0.017,0.997294555,POINT (-145.4789266915721 63.2797171437705)
