site_name,image_date,image_product,class,B1,B2,B3,B4,B5,B6,B7,B8,B8A,B9,B11,B12,NDSI,geometry
Gulkana,20210615,Sentinel-2_SR,1,0.8619,0.912,0.9144,0.8792,0.8878,0.8148,0.752,0.7167,0.6697,0.6813,0.0158,0.0144,0.966028811,POINT (-145.4705000211719 63.27572523478324)
Gulkana,20210615,Sentinel-2_SR,1,0.8243,0.9032,0.9112,0.8856,0.9076,0.8314,0.7563,0.7187,0.6711,0.6517,0.0156,0.0141,0.966335779,POINT (-145.4617283086684 63.267327996857844)
Gulkana,20210615,Sentinel-2_SR,1,0.8266,0.8936,0.9112,0.8832,0.9106,0.8349,0.763,0.7144,0.6824,0.6783,0.0161,0.0137,0.965275531,POINT (-145.46089357484308 63.26812979568276)
Gulkana,20210615,Sentinel-2_SR,1,0.7941,0.8928,0.8936,0.8632,0.8637,0.7997,0.7303,0.704,0.6508,0.6416,0.0182,0.0173,0.960078965,POINT (-145.4589294135393 63.26580582793841)
Gulkana,20210615,Sentinel-2_SR,1,0.831,0.9352,0.9368,0.9128,0.9347,0.8663,0.791,0.7483,0.7075,0.6995,0.0166,0.0147,0.96517726,POINT (-145.46796700938177 63.265092532549176)
Gulkana,20210615,Sentinel-2_SR,1,0.7106,0.864,0.8768,0.8544,0.8609,0.791,0.7148,0.6884,0.637,0.6124,0.0136,0.0103,0.969451932,POINT (-145.46895775759225 63.268249157217824)
Gulkana,20210615,Sentinel-2_SR,1,0.8856,0.9632,0.9712,0.952,0.9621,0.8816,0.8111,0.7896,0.7306,0.7234,0.0166,0.0147,0.966389957,POINT (-145.46496984529628 63.26313081760279)
Gulkana,20210615,Sentinel-2_SR,1,0.7855,1.0088,1.0144,0.9856,0.9852,0.9022,0.8314,0.7836,0.7379,0.6725,0.0193,0.0175,0.962658412,POINT (-145.46924589974486 63.2637992173076)
Gulkana,20210615,Sentinel-2_SR,1,0.8217,0.884,0.864,0.8456,0.856,0.7831,0.7212,0.6884,0.6465,0.6016,0.0215,0.0192,0.951439864,POINT (-145.47149161118762 63.263964400704126)
Gulkana,20210615,Sentinel-2_SR,1,0.5528,0.7632,0.7492,0.716,0.7192,0.6629,0.5829,0.568,0.5244,0.4391,0.0198,0.0195,0.948504551,POINT (-145.47269718329343 63.26366700814067)
Gulkana,20210615,Sentinel-2_SR,1,0.5146,0.7284,0.732,0.6968,0.7993,0.7372,0.6631,0.556,0.605,0.4707,0.032,0.0324,0.916230366,POINT (-145.47236038100004 63.265299674599525)
Gulkana,20210615,Sentinel-2_SR,1,0.7245,0.818,0.7992,0.7584,0.7694,0.7446,0.6617,0.6048,0.5937,0.491,0.0271,0.0243,0.93440639,POINT (-145.4707242997271 63.26189670522538)
Gulkana,20210615,Sentinel-2_SR,1,0.6269,0.8704,0.8464,0.8036,0.7825,0.7514,0.6916,0.6565,0.5908,0.4588,0.035,0.0358,0.920580894,POINT (-145.47086132735737 63.26285737590977)
Gulkana,20210615,Sentinel-2_SR,1,0.7119,0.7964,0.7768,0.7316,0.7407,0.6724,0.6237,0.5928,0.5594,0.5607,0.0185,0.0167,0.953476675,POINT (-145.4689659776197 63.26199065587067)
Gulkana,20210615,Sentinel-2_SR,1,0.709,0.8744,0.864,0.8312,0.8627,0.7845,0.7307,0.6756,0.649,0.559,0.0212,0.0197,0.95210122,POINT (-145.46780209390636 63.262683429886145)
Gulkana,20210615,Sentinel-2_SR,1,0.8788,0.9208,0.9168,0.8776,0.8984,0.8222,0.7521,0.7124,0.6687,0.672,0.0154,0.013,0.96695988,POINT (-145.47569043968653 63.277804329189266)
Gulkana,20210615,Sentinel-2_SR,1,0.8976,0.9384,0.9328,0.8976,0.9131,0.8408,0.772,0.73,0.6835,0.6896,0.0154,0.0131,0.967517401,POINT (-145.4732089531484 63.27740210788721)
Gulkana,20210615,Sentinel-2_SR,1,0.8974,0.9392,0.944,0.9032,0.9321,0.8555,0.7801,0.7332,0.6981,0.6944,0.0149,0.0126,0.968922724,POINT (-145.47019152539244 63.27727582131217)
Gulkana,20210615,Sentinel-2_SR,1,0.8756,0.9208,0.9192,0.8872,0.9148,0.8386,0.769,0.7208,0.6886,0.6887,0.0137,0.0118,0.970629221,POINT (-145.47013186287933 63.278402114942736)
Gulkana,20210615,Sentinel-2_SR,1,0.8809,0.9224,0.9256,0.896,0.9189,0.8419,0.7698,0.7317,0.6878,0.6893,0.0145,0.0116,0.969152218,POINT (-145.47268038805558 63.279509441672126)
Gulkana,20210615,Sentinel-2_SR,1,0.8867,0.9352,0.9384,0.9064,0.9238,0.8477,0.7776,0.7376,0.6942,0.6941,0.0161,0.0126,0.96626506,POINT (-145.474876621425 63.27939210611316)
Gulkana,20210615,Sentinel-2_SR,1,0.8868,0.9288,0.9288,0.8952,0.9198,0.842,0.7751,0.7324,0.69,0.6915,0.0166,0.0131,0.964882589,POINT (-145.47718696384678 63.27908813474121)
Gulkana,20210615,Sentinel-2_SR,1,0.7786,0.9208,0.92,0.8896,0.891,0.8243,0.7538,0.7352,0.6754,0.6263,0.0174,0.015,0.96287604,POINT (-145.47912978294474 63.27784109311614)
Gulkana,20210615,Sentinel-2_SR,1,0.8593,0.8976,0.8968,0.8656,0.8906,0.8176,0.7496,0.706,0.6671,0.6725,0.0141,0.0112,0.969041607,POINT (-145.4692333935774 63.279613308115934)
Gulkana,20210615,Sentinel-2_SR,1,0.8525,0.9104,0.912,0.884,0.9044,0.8317,0.7591,0.7229,0.6812,0.6785,0.0139,0.0122,0.969975159,POINT (-145.46949882226482 63.28050831652376)
Gulkana,20210615,Sentinel-2_SR,1,0.8729,0.9272,0.9384,0.9104,0.9346,0.8596,0.7972,0.7544,0.7104,0.7128,0.0149,0.0121,0.968740166,POINT (-145.46986104168008 63.28154523063286)
Gulkana,20210615,Sentinel-2_SR,1,0.8584,0.9192,0.932,0.908,0.9266,0.8493,0.7848,0.7464,0.7053,0.7059,0.0148,0.0101,0.968736798,POINT (-145.46990559487662 63.28267264304297)
Gulkana,20210615,Sentinel-2_SR,1,0.8318,0.8832,0.8928,0.8768,0.9011,0.8274,0.7573,0.7149,0.6763,0.6828,0.0143,0.0126,0.968470951,POINT (-145.47016112503073 63.283755365408474)
Gulkana,20210615,Sentinel-2_SR,1,0.8948,0.9616,0.9728,0.948,0.9802,0.9043,0.8369,0.7872,0.752,0.7557,0.017,0.0146,0.965649626,POINT (-145.47178439410217 63.28264585450496)
Gulkana,20210615,Sentinel-2_SR,1,0.9059,0.968,0.9776,0.9568,0.9878,0.9109,0.8385,0.7912,0.7509,0.7617,0.0171,0.013,0.965617774,POINT (-145.4731841780867 63.281815664053546)
Gulkana,20210615,Sentinel-2_SR,1,0.8616,0.9024,0.912,0.8776,0.894,0.8287,0.7632,0.7236,0.6838,0.6894,0.0145,0.015,0.968699406,POINT (-145.4756039229377 63.28141897827059)
Gulkana,20210615,Sentinel-2_SR,1,0.8716,0.9296,0.9368,0.9056,0.9216,0.8458,0.781,0.7371,0.6891,0.6856,0.0141,0.0118,0.970343885,POINT (-145.47886736339726 63.28084344158556)
Gulkana,20210615,Sentinel-2_SR,1,0.8889,0.9288,0.9296,0.8992,0.9178,0.8438,0.7726,0.7292,0.6892,0.6958,0.0162,0.0132,0.965743286,POINT (-145.48106614295068 63.28067908174362)
Gulkana,20210615,Sentinel-2_SR,1,0.9079,0.952,0.9528,0.9288,0.9493,0.8649,0.7968,0.7492,0.7096,0.7196,0.0182,0.0151,0.962512873,POINT (-145.48325503809963 63.28070240456469)
Gulkana,20210615,Sentinel-2_SR,1,0.7263,0.8832,0.8768,0.84,0.8411,0.7744,0.7081,0.6933,0.6399,0.571,0.0172,0.0145,0.961521253,POINT (-145.4850565482299 63.280158109820135)
Gulkana,20210615,Sentinel-2_SR,1,0.7293,0.7592,0.7568,0.7212,0.733,0.6684,0.6138,0.576,0.5451,0.5535,0.0147,0.0127,0.961892417,POINT (-145.4839543520488 63.27930118645721)
Gulkana,20210615,Sentinel-2_SR,1,0.9005,0.932,0.9352,0.9112,0.9231,0.8459,0.7771,0.7307,0.6953,0.7134,0.0163,0.0128,0.965738308,POINT (-145.4814356040281 63.27960304561851)
Gulkana,20210615,Sentinel-2_SR,1,0.8858,0.9392,0.936,0.9064,0.9297,0.8518,0.7846,0.7396,0.6993,0.6997,0.0161,0.0135,0.966180023,POINT (-145.4789266915721 63.2797171437705)
Gulkana,20210615,Sentinel-2_SR,1,0.8898,0.94,0.948,0.9152,0.9335,0.8594,0.7882,0.744,0.7012,0.7047,0.0159,0.0125,0.967009026,POINT (-145.47713746887555 63.28002671559457)
Gulkana,20210615,Sentinel-2_SR,1,0.8836,0.9304,0.932,0.9056,0.9252,0.8517,0.7793,0.7408,0.6989,0.7046,0.0153,0.0137,0.967697667,POINT (-145.47555667107963 63.28033849585732)
