geometry,Class,SR_B1,SR_B2,SR_B3,SR_B4,SR_B5,SR_B6,SR_B7,ST_B10,NDSI,image_date,site_name
POINT (-121.03332944457196 48.35461020547475),4,0.2442825,0.25723500000000005,0.279895,0.28333250000000004,0.313775,0.38912500000000005,0.36971000000000004,1.1877250000000001,-0.16326866162446568,20210819,SouthCascade
POINT (-121.03286385908467 48.353768310075566),4,0.24392500000000003,0.256245,0.27434000000000003,0.2734325,0.29425,0.39344250000000003,0.37620000000000003,1.1774675000000001,-0.17835522793724004,20210819,SouthCascade
POINT (-121.03233394010341 48.35327526896321),4,0.25734500000000005,0.2690325,0.29953,0.3014275,0.3284325,0.4453075,0.41442500000000004,1.1889900000000002,-0.19571718663466864,20210819,SouthCascade
POINT (-121.03168251028103 48.35269666956088),4,0.28545000000000004,0.30027250000000005,0.32144750000000005,0.3230425,0.34817750000000003,0.48243250000000004,0.47313750000000004,1.19768,-0.20025998905309245,20210819,SouthCascade
POINT (-121.03051130937061 48.35168354783128),4,0.228085,0.24224750000000003,0.2613325,0.25767500000000004,0.28803500000000004,0.41811000000000004,0.3757325,1.209615,-0.23074432347108106,20210819,SouthCascade
POINT (-121.03005588699202 48.35090017803058),4,0.26303750000000004,0.2841575,0.32513250000000005,0.33528,0.43246500000000004,0.504405,0.44398750000000003,1.2368675,-0.21611138736946786,20210819,SouthCascade
POINT (-121.03066071468122 48.35017784069079),4,0.2633125,0.2795925,0.31748750000000003,0.32568250000000004,0.45196250000000004,0.5253325000000001,0.44277750000000005,1.2104675,-0.2466066301226834,20210819,SouthCascade
POINT (-121.03444609478079 48.34994685817547),4,0.25679500000000005,0.28231500000000004,0.31842250000000005,0.33132,0.35805000000000003,0.46183500000000005,0.42990750000000005,1.1955625,-0.18380150142741336,20210819,SouthCascade
POINT (-121.03200486870183 48.349719004774094),4,0.25789500000000004,0.2665575,0.29320500000000005,0.29282,0.34105500000000005,0.5034700000000001,0.45861750000000007,1.204115,-0.2639282015878495,20210819,SouthCascade
POINT (-121.03155188128369 48.350702475346665),4,0.24021250000000002,0.254265,0.273955,0.2723875,0.3705625,0.38351500000000005,0.3366,1.1898425000000001,-0.16663878199765775,20210819,SouthCascade
POINT (-121.03316862093392 48.35213207450954),4,0.2848175,0.29183000000000003,0.3062675,0.308935,0.34837,0.45812250000000004,0.4373325,1.1971025000000002,-0.19866167793927184,20210819,SouthCascade
POINT (-121.03374547673151 48.35330935400717),4,0.24563000000000001,0.25454000000000004,0.27483500000000005,0.2777775,0.30384750000000005,0.41995250000000006,0.40062000000000003,1.1777700000000002,-0.2088660201860281,20210819,SouthCascade
POINT (-121.03399164179996 48.354013900628864),4,0.24571250000000003,0.259435,0.27381750000000005,0.2756325,0.30525,0.4215475,0.39113250000000005,1.1876425000000002,-0.2124495768409396,20210819,SouthCascade
POINT (-121.01696826683035 48.35018266489305),4,0.2087525,0.2146375,0.23182500000000003,0.22002750000000001,0.3883825,0.273075,0.2356475,1.2004575000000002,-0.08169934640522872,20210819,SouthCascade
POINT (-121.01979368915582 48.35057325183285),4,0.22561000000000003,0.2326775,0.2555025,0.24956250000000002,0.43870750000000003,0.37441250000000004,0.30148250000000004,1.25367,-0.18877150091679037,20210819,SouthCascade
POINT (-121.02059104490971 48.35131541329451),4,0.22962500000000002,0.23751750000000002,0.26171750000000005,0.253385,0.4812775,0.39759500000000003,0.31605750000000005,1.2450625000000002,-0.206089676746611,20210819,SouthCascade
POINT (-121.02203400446265 48.35191889513036),4,0.24252250000000003,0.25115750000000003,0.27348750000000005,0.2723875,0.4670325,0.47080000000000005,0.36690500000000004,1.2594725000000002,-0.26510253094402364,20210819,SouthCascade
POINT (-121.0224082562449 48.347410079473754),4,0.2595175,0.26521,0.2791525,0.27491750000000004,0.44935,0.459525,0.37680500000000006,1.2512500000000002,-0.24418301626894007,20210819,SouthCascade
POINT (-121.02480052925165 48.35139686719108),4,0.24994750000000002,0.28193,0.32403250000000006,0.31185,0.34215500000000004,0.43648000000000003,0.44588500000000003,1.2648075,-0.1478575302838546,20210819,SouthCascade
POINT (-121.02483033750558 48.35038307946332),4,0.33297000000000004,0.36099250000000005,0.43103500000000006,0.441155,0.43598500000000007,0.47143250000000003,0.45012,1.21814,-0.04476338483103266,20210819,SouthCascade
POINT (-121.02511699672871 48.34749708586277),4,0.28734750000000003,0.29799000000000003,0.32738750000000005,0.34179750000000003,0.410685,0.5592125,0.519695,1.2704175000000002,-0.26147642679900734,20210819,SouthCascade
POINT (-121.02616186311846 48.348019375838454),4,0.27134250000000004,0.2825075,0.303435,0.30786250000000004,0.39635750000000003,0.5363600000000001,0.4786925,1.2477575,-0.27735935555701097,20210819,SouthCascade
POINT (-121.02470790812713 48.34957416415559),4,0.27604500000000004,0.31289500000000003,0.35079000000000005,0.35849000000000003,0.39479000000000003,0.47525500000000004,0.4510275,1.2243275,-0.15067581063985613,20210819,SouthCascade
POINT (-121.02437832050346 48.34884931235867),4,0.30214250000000004,0.3179,0.351285,0.3548875,0.37298250000000005,0.44849750000000005,0.44077000000000005,1.237335,-0.12154867104494038,20210819,SouthCascade
POINT (-121.02601713644142 48.34658708102105),4,0.2799225,0.28996000000000005,0.31801,0.32601250000000004,0.39580750000000003,0.5671875000000001,0.5071275000000001,1.2697025000000002,-0.28149367796452207,20210819,SouthCascade
POINT (-121.0269909970302 48.34679657352538),4,0.295735,0.31102500000000005,0.34845250000000005,0.37050750000000005,0.43425250000000004,0.594825,0.5361675,1.2594175,-0.2611877204746217,20210819,SouthCascade
POINT (-121.02756975382378 48.34758188092523),4,0.2761275,0.285285,0.3050025,0.31234500000000004,0.37848250000000005,0.5555825000000001,0.5044875000000001,1.2517175,-0.29117402697002626,20210819,SouthCascade
POINT (-121.02807095280478 48.34821402002926),4,0.23798500000000003,0.24101000000000003,0.249095,0.24219250000000003,0.25418250000000003,0.38337750000000004,0.33594,1.2327975000000002,-0.21231357885125446,20210819,SouthCascade
POINT (-121.0285301786851 48.34870162749131),4,0.25913250000000004,0.27225000000000005,0.3055525,0.30574500000000004,0.35516250000000005,0.49786,0.47113000000000005,1.22991,-0.23936334074961493,20210819,SouthCascade
POINT (-121.0291575262146 48.34947184960933),4,0.25888500000000003,0.27335000000000004,0.2931225,0.29645000000000005,0.34886500000000004,0.47344,0.43334500000000004,1.2367575000000002,-0.23522869955156953,20210819,SouthCascade
POINT (-121.028804377546 48.35019221050511),4,0.27090250000000005,0.29227000000000003,0.32439,0.3262875,0.39149000000000006,0.46142250000000007,0.43741500000000005,1.25235,-0.1743832020997376,20210819,SouthCascade
POINT (-121.02857751786273 48.35075513878738),4,0.27527500000000005,0.30002500000000004,0.34036750000000005,0.34688500000000005,0.428505,0.574145,0.51854,1.2613975000000002,-0.25563073222071864,20210819,SouthCascade
POINT (-121.02819514144895 48.35160275390837),4,0.25610750000000004,0.28176500000000004,0.31482000000000004,0.3145175,0.3537325,0.45122000000000007,0.43015500000000007,1.2320000000000002,-0.17805858701895463,20210819,SouthCascade
POINT (-121.02795858795743 48.3521095942696),4,0.29249,0.3213925,0.37171750000000003,0.37298250000000005,0.39160000000000006,0.52415,0.5208775,1.2193775,-0.17015071983301097,20210819,SouthCascade
